Source;Scrittori;Message Size;Time;Provenance
client0;2;256;104311;LAN
client1;2;256;10181;LAN
client0;2;256;9363;LAN
client0;2;256;17883;LAN
client1;2;256;19752;LAN
client1;2;256;83082;LAN
client0;2;256;79394;LAN
client1;2;256;78055;LAN
client0;2;256;74009;LAN
client1;2;256;67521;LAN
client0;2;256;65695;LAN
client0;2;256;53681;LAN
client1;2;256;59135;LAN
client1;2;256;19461;LAN
client0;2;256;15849;LAN
client1;2;256;20632;LAN
client0;2;256;18934;LAN
client0;2;256;31416;LAN
client1;2;256;33190;LAN
client0;2;256;19396;LAN
client1;2;256;25782;LAN
client1;2;256;259432;LAN
client0;2;256;256703;LAN
client1;2;256;375087;LAN
client0;2;256;370246;LAN
client1;2;256;11789;LAN
client0;2;256;10729;LAN
client1;2;256;19922;LAN
client0;2;256;16225;LAN
client1;2;256;229560;LAN
client0;2;256;226820;LAN
client1;2;256;19613;LAN
client0;2;256;19285;LAN
client0;2;256;206570;LAN
client1;2;256;211810;LAN
client1;2;256;201674;LAN
client0;2;256;197387;LAN
client1;2;256;10774;LAN
client0;2;256;9566;LAN
client1;2;256;19676;LAN
client0;2;256;18875;LAN
client0;2;256;177646;LAN
client1;2;256;178137;LAN
client0;2;1024;14544;LAN
client1;2;1024;14221;LAN
client0;2;1024;56997;LAN
client1;2;1024;59171;LAN
client0;2;1024;47457;LAN
client1;2;1024;48501;LAN
client0;2;1024;36372;LAN
client1;2;1024;39150;LAN
client0;2;1024;32035;LAN
client1;2;1024;30104;LAN
client0;2;1024;11228;LAN
client1;2;1024;12819;LAN
client0;2;1024;14616;LAN
client1;2;1024;14281;LAN
client0;2;1024;251847;LAN
client1;2;1024;253783;LAN
client0;2;1024;15352;LAN
client1;2;1024;18764;LAN
client0;2;1024;361327;LAN
client1;2;1024;360489;LAN
client0;2;1024;348407;LAN
client1;2;1024;347788;LAN
client1;2;1024;14871;LAN
client0;2;1024;14086;LAN
client1;2;1024;12277;LAN
client0;2;1024;12843;LAN
client1;2;1024;199764;LAN
client0;2;1024;200732;LAN
client1;2;1024;189426;LAN
client0;2;1024;190972;LAN
client0;2;1024;182482;LAN
client1;2;1024;182726;LAN
client0;2;1024;178605;LAN
client1;2;1024;177508;LAN
client0;2;1024;10981;LAN
client1;2;1024;13007;LAN
client1;2;1024;12398;LAN
client0;2;1024;13794;LAN
client1;2;1024;147306;LAN
client0;2;1024;147306;LAN
client0;2;1024;142332;LAN
client1;2;1024;143708;LAN
client0;2;1024;134033;LAN
client1;2;1024;134034;LAN
client0;2;1024;127406;LAN
client1;2;1024;126097;LAN
client1;2;1024;15576;LAN
client0;2;1024;15878;LAN
client0;2;1024;14540;LAN
client1;2;1024;16871;LAN
client0;2;1024;97461;LAN
client1;2;1024;100046;LAN
client0;2;1024;92190;LAN
client1;2;1024;92190;LAN
client0;2;1024;79149;LAN
client1;2;1024;77582;LAN
client0;2;1024;73404;LAN
client1;2;1024;70844;LAN
client1;2;1024;12535;LAN
client0;2;1024;14149;LAN
client0;2;1024;21042;LAN
client1;2;1024;19073;LAN
client0;2;1024;47811;LAN
client1;2;1024;47811;LAN
client0;2;1024;43499;LAN
client1;2;1024;42161;LAN
client1;2;1024;29883;LAN
client0;2;1024;31580;LAN
client0;2;1024;389973;LAN
client1;2;1024;390671;LAN
client0;2;1024;14569;LAN
client1;2;1024;14601;LAN
client0;2;1024;13331;LAN
client1;2;1024;13899;LAN
client0;2;1024;278528;LAN
client1;2;1024;279128;LAN
client1;2;1024;12094;LAN
client0;2;1024;13624;LAN
client0;2;1024;225545;LAN
client1;2;1024;227272;LAN
client0;2;1024;220971;LAN
client1;2;1024;218003;LAN
client1;2;1024;9161;LAN
client0;2;1024;12535;LAN
client0;2;1024;14293;LAN
client1;2;1024;12856;LAN
client0;2;1024;187472;LAN
client1;2;1024;189059;LAN
client0;2;1024;183534;LAN
client1;2;1024;180506;LAN
client1;2;1024;173897;LAN
client0;2;1024;175387;LAN
client0;2;1024;167059;LAN
client1;2;1024;167135;LAN
client0;2;1024;15238;LAN
client1;2;1024;13885;LAN
client0;2;1024;15061;LAN
client1;2;1024;13509;LAN
client0;2;1024;142663;LAN
client1;2;1024;143341;LAN
client0;2;4096;22409;LAN
client1;2;4096;22981;LAN
client0;2;4096;201058;LAN
client1;2;4096;204044;LAN
client1;2;4096;18333;LAN
client0;2;4096;24643;LAN
client0;2;4096;185645;LAN
client1;2;4096;187414;LAN
client1;2;4096;175965;LAN
client0;2;4096;177833;LAN
client0;2;4096;169181;LAN
client1;2;4096;173018;LAN
client0;2;4096;163315;LAN
client1;2;4096;161786;LAN
client1;2;4096;150059;LAN
client0;2;4096;153877;LAN
client0;2;4096;146983;LAN
client1;2;4096;147835;LAN
client0;2;4096;133800;LAN
client1;2;4096;141094;LAN
client0;2;4096;126271;LAN
client1;2;4096;130677;LAN
client0;2;4096;118181;LAN
client1;2;4096;121834;LAN
client1;2;4096;112915;LAN
client0;2;4096;114143;LAN
client0;2;4096;103059;LAN
client1;2;4096;104331;LAN
client0;2;4096;91514;LAN
client1;2;4096;92984;LAN
client0;2;4096;83081;LAN
client1;2;4096;86578;LAN
client0;2;4096;76315;LAN
client1;2;4096;77536;LAN
client0;2;4096;67128;LAN
client1;2;4096;68681;LAN
client0;2;4096;58843;LAN
client1;2;4096;60254;LAN
client0;2;4096;48518;LAN
client1;2;4096;52277;LAN
client0;2;4096;44129;LAN
client1;2;4096;44129;LAN
client0;2;4096;31233;LAN
client1;2;4096;35647;LAN
client0;2;4096;272508;LAN
client1;2;4096;274925;LAN
client1;2;4096;378439;LAN
